Title,Link
Linux disk I/O diagram (2024),https://zenodo.org/records/15234151
Twake Drive – An open-source alternative to Google Drive,https://github.com/linagora/twake-drive
Typst 0.14,https://typst.app/blog/2025/typst-0.14/
Why formalize mathematics – more than catching errors,https://rkirov.github.io/posts/why_lean/
Mesh2Motion – Open-source web application to animate 3D models,https://mesh2motion.org/
"Asahi Linux Still Working on Apple M3 Support, M1n1 Bootloader Going Rust",https://www.phoronix.com/news/Asahi-Linux-M3-m1n1-Update
A “knot dominated era” may have existed in the early universe: study,https://phys.org/news/2025-10-key-universe-1800s-idea-science.html
Mosquitoes discovered in Iceland for the first time,https://www.cnn.com/2025/10/21/climate/iceland-mosquito-discovery
Roc Camera,https://roc.camera/
Disable AI in Firefox,https://flamedfury.com/posts/disable-ai-in-firefox/
A sharded DuckDB on 63 nodes runs 1T row aggregation challenge in 5 sec,https://gizmodata.com/blog/gizmoedge-one-trillion-row-challenge
'Attention is all you need' coauthor says he's 'sick' of transformers,https://venturebeat.com/ai/sakana-ais-cto-says-hes-absolutely-sick-of-transformers-the-tech-that-powers
Interstellar Mission to a Black Hole,https://www.centauri-dreams.org/2025/10/23/interstellar-mission-to-a-black-hole/
Cheap DIY solar fence design,https://joeyh.name/blog/entry/cheap_DIY_solar_fence_design/
Public Montessori programs strengthen learning outcomes at lower costs: study,https://phys.org/news/2025-10-national-montessori-early-outcomes-sharply.html
ChunkLLM: A Lightweight Pluggable Framework for Accelerating LLMs Inference,https://arxiv.org/abs/2510.02361
Debian Technical Committee overrides systemd change,https://lwn.net/Articles/1041316/
Padlet (YC W13) Is Hiring in San Francisco and Singapore,https://padlet.jobs
Counter-Strike's player economy is in a multi-billion dollar freefall,https://www.polygon.com/counter-strike-cs-player-economy-multi-billion-dollar-freefall/
VisiCalc on the Apple II,https://stonetools.ghost.io/visicalc-apple2/
The Mainframe Six (2022),https://arcanesciences.com/os2200/app1.html
Why can't transformers learn multiplication?,https://arxiv.org/abs/2510.00184
Where's the AI design Renaissance?,https://www.learnui.design/blog/wheres-the-ai-design-renaissance.html
Wasp Blower,https://softsolder.com/2025/08/12/wasp-blower/
When is it better to think without words?,https://www.henrikkarlsson.xyz/p/wordless-thought
Random Numbers from Hard Problems: LWE Toy RNG,https://blog.s20n.dev/posts/lwe-rng/
Alaska Airlines' statement on IT outage,https://news.alaskaair.com/on-the-record/alaska-statement-on-it-outage/
SierraDB: A distributed event store built in Rust,https://tqwewe.com/blog/building-sierradb/
LightlyStudio – an open-source multimodal data curation and labeling tool,https://github.com/lightly-ai/lightly-studio
Clojure Zippers (2021),https://grishaev.me/en/clojure-zippers/
